,OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,Discount,Tax,ShippingCost,TotalAmount,PaymentMethod,OrderStatus,City,State,Country,SellerID,TotalAmountPredictionByModel,TotalAmount_Original
52566,ORD0052567,28-02-2021,CUST044366,Aditya Kumar,P00038,External HDD 2TB,Clothing,Apex,5,230.25,0.05,87.5,8.58,1189.77,UPI,Delivered,San Diego,CA,United States,SELL01972,1189.5137,1189.77
96213,ORD0096214,21-12-2024,CUST041168,Kabir Gupta,P00049,Children's Book,Books,UrbanStyle,5,532.14,0,212.86,7.04,2880.6,Debit Card,Delivered,Jacksonville,FL,United States,SELL01063,2879.3852,2880.6
26868,ORD0026869,14-10-2024,CUST032475,Aarav Verma,P00032,Board Game,Books,CoreTech,1,349.57,0.15,23.77,1.7,322.6,Credit Card,Delivered,Philadelphia,PA,United States,SELL00917,324.331,322.6
65971,ORD0065972,06-01-2023,CUST018560,Kabir Kapoor,P00033,Puzzle 1000pc,Toys & Games,ReadMore,1,414.89,0.05,19.71,13.31,427.17,Amazon Pay,Delivered,Seattle,WA,United States,SELL00539,426.5893,427.17
38598,ORD0038599,13-12-2020,CUST040322,Sahil Kumar,P00040,Microphone,Home & Kitchen,ReadMore,3,79.72,0,19.13,13.55,271.84,Amazon Pay,Delivered,New York,NY,United Kingdom,SELL00594,270.2981,271.84
8589,ORD0008590,03-12-2022,CUST022105,Anjali Kumar,P00041,Webcam Full HD,Home & Kitchen,FitLife,2,279.86,0.2,35.82,9.04,492.64,Cash on Delivery,Delivered,San Antonio,TX,United States,SELL00217,492.7261,492.64
76174,ORD0076175,30-11-2020,CUST033982,Rohit Gupta,P00009,Portable SSD 1TB,Clothing,UrbanStyle,3,452.87,0,67.93,2.23,1428.77,Net Banking,Delivered,Columbus,OH,United States,SELL01826,1430.3188,1428.77
801,ORD0000802,29-06-2023,CUST003091,Arjun Patel,P00027,Winter Jacket,Books,UrbanStyle,5,549.2,0.05,130.44,5.06,2744.2,Debit Card,Delivered,Houston,TX,United States,SELL01107,2745.1651,2744.2
64638,ORD0064639,18-01-2021,CUST027184,Priya Verma,P00005,Laptop Sleeve,Electronics,KiddoFun,3,43.52,0.05,9.92,11.3,145.25,Credit Card,Delivered,Jacksonville,FL,United Kingdom,SELL00764,144.8806,145.25
94732,ORD0094733,14-12-2022,CUST046393,Aman Mehta,P00023,Cookware Set,Sports & Outdoors,NexPro,4,457.87,0.1,82.42,0.71,1731.46,Credit Card,Delivered,Fort Worth,TX,United States,SELL01135,1734.124,1731.46
54510,ORD0054511,10-05-2022,CUST004647,Priya Kumar,P00024,Yoga Mat,Clothing,CoreTech,3,543.85,0,195.79,6.11,1833.45,Cash on Delivery,Shipped,New York,NY,United States,SELL00203,1836.6168,1833.45
22166,ORD0022167,26-04-2022,CUST040135,Aman Kapoor,P00003,Smartphone Case,Clothing,FitLife,5,343.22,0.05,195.64,7.34,1833.28,Credit Card,Delivered,Philadelphia,PA,United States,SELL00972,1830.9597,1833.28
65339,ORD0065340,04-08-2023,CUST010966,Mohit Verma,P00045,Phone Tripod,Home & Kitchen,Apex,1,319.53,0.15,21.73,1.07,294.4,Credit Card,Delivered,Los Angeles,CA,United States,SELL01858,294.931,294.4
48535,ORD0048536,14-07-2022,CUST025906,Priya Kapoor,P00026,Sunglasses,Clothing,FitLife,3,286.81,0.2,55.07,12.6,756.01,Debit Card,Shipped,Austin,TX,United States,SELL01656,753.2174,756.01
96386,ORD0096387,16-07-2024,CUST040723,Aman Patel,P00007,Mechanical Keyboard,Home & Kitchen,BrightLux,2,517.36,0.2,99.33,1.38,928.49,UPI,Delivered,Philadelphia,PA,United States,SELL00677,934.729,928.49
98226,ORD0098227,23-07-2022,CUST025510,Sunita Kumar,P00047,Memory Card 128GB,Electronics,KiddoFun,5,554.85,0,332.91,8.23,3115.39,Amazon Pay,Delivered,Jacksonville,FL,United States,SELL00576,3115.289,3115.39
97890,ORD0097891,22-07-2020,CUST028595,Kabir Mehta,P00023,Cookware Set,Toys & Games,HomeEase,2,115.92,0,18.55,10.51,260.9,Debit Card,Delivered,San Diego,CA,United States,SELL01033,260.5586,260.9
37942,ORD0037943,11-06-2021,CUST034057,Anjali Kapoor,P00005,Laptop Sleeve,Sports & Outdoors,BrightLux,4,236.86,0.2,37.9,5.11,800.96,Net Banking,Delivered,Fort Worth,TX,India,SELL00949,799.9261,800.96
47850,ORD0047851,05-08-2022,CUST034277,Simran Reddy,P00031,Kids Toy Car,Toys & Games,BrightLux,4,133.78,0.25,20.07,7.88,429.29,Credit Card,Delivered,Washington,DC,United States,SELL01038,429.994,429.29
48917,ORD0048918,10-07-2024,CUST031629,Aman Kapoor,P00050,Novel Bestseller,Sports & Outdoors,NexPro,4,586.72,0.05,401.32,9.42,2640.28,Credit Card,Delivered,San Francisco,CA,United States,SELL00486,2634.2752,2640.28
40590,ORD0040591,06-12-2020,CUST040983,Ritika Kumar,P00046,Car Charger,Toys & Games,KiddoFun,3,358.22,0.05,51.05,10.11,1082.09,Credit Card,Delivered,Columbus,OH,United States,SELL01953,1081.3596,1082.09
66574,ORD0066575,22-12-2023,CUST032138,Neha Joshi,P00044,Power Bank 20000mAh,Toys & Games,Apex,4,261.19,0.05,0,1.38,993.9,UPI,Delivered,Los Angeles,CA,Canada,SELL00583,999.379,993.9
9058,ORD0009059,21-05-2023,CUST000166,Rohit Verma,P00050,Novel Bestseller,Electronics,ReadMore,4,417.71,0.05,126.98,13.5,1727.78,Credit Card,Delivered,Denver,CO,United States,SELL00084,1726.8508,1727.78
64048,ORD0064049,06-10-2021,CUST010417,Rohit Kumar,P00040,Microphone,Electronics,CoreTech,4,249.74,0,79.92,13.74,1092.62,Credit Card,Pending,Dallas,TX,United States,SELL00883,1091.1287,1092.62
88172,ORD0088173,07-12-2024,CUST003077,Vivaan Reddy,P00001,Wireless Earbuds,Home & Kitchen,FitLife,3,581.94,0.3,146.65,13.85,1382.57,Debit Card,Delivered,San Jose,CA,United States,SELL00150,1386.6603,1382.57
86445,ORD0086446,27-12-2024,CUST046857,Sunita Gupta,P00044,Power Bank 20000mAh,Toys & Games,UrbanStyle,1,513.01,0.05,38.99,9.56,535.91,Debit Card,Shipped,Columbus,OH,India,SELL01398,535.0284,535.91
32359,ORD0032360,21-07-2022,CUST009659,Aarav Verma,P00044,Power Bank 20000mAh,Sports & Outdoors,FitLife,5,380.25,0.05,144.5,11.37,1962.06,Credit Card,Delivered,Phoenix,AZ,United Kingdom,SELL01169,1960.1476,1962.06
9406,ORD0009407,07-01-2024,CUST028335,Aman Sharma,P00005,Laptop Sleeve,Toys & Games,BrightLux,4,293.84,0.05,55.83,7.51,1179.93,Cash on Delivery,Delivered,Columbus,OH,United States,SELL01293,1179.5621,1179.93
90723,ORD0090724,01-01-2023,CUST006486,Simran Mehta,P00044,Power Bank 20000mAh,Electronics,UrbanStyle,3,93.23,0.1,12.59,5.07,269.38,Net Banking,Delivered,Dallas,TX,United States,SELL01006,270.8323,269.38
26402,ORD0026403,29-05-2021,CUST023301,Kabir Joshi,P00015,Instant Pot,Clothing,NexPro,1,230.67,0.15,9.8,8.47,214.34,Cash on Delivery,Delivered,New York,NY,India,SELL01300,214.657,214.34
68580,ORD0068581,04-05-2021,CUST030903,Vihaan Mehta,P00043,HDMI Cable 2m,Toys & Games,CoreTech,1,111.66,0,8.93,9.15,129.74,UPI,Shipped,Dallas,TX,United States,SELL01908,129.4421,129.74
69801,ORD0069802,04-01-2022,CUST046329,Mohit Sharma,P00034,Desk Organizer,Sports & Outdoors,FitLife,2,80.41,0.15,10.94,11.01,158.65,UPI,Delivered,San Antonio,TX,United States,SELL00733,157.0885,158.65
54651,ORD0054652,10-05-2022,CUST000024,Mohit Verma,P00020,Office Chair,Books,HomeEase,4,203.64,0.05,61.91,6.14,841.88,Net Banking,Shipped,Chicago,IL,United States,SELL01856,840.7758,841.88
44110,ORD0044111,25-04-2022,CUST012397,Anjali Verma,P00031,Kids Toy Car,Clothing,Apex,2,575.73,0.25,155.45,8.53,1027.58,Net Banking,Delivered,San Diego,CA,United States,SELL00267,1028.0242,1027.58
85585,ORD0085586,22-05-2022,CUST006809,Mohit Reddy,P00013,Action Camera,Toys & Games,CoreTech,5,548.1,0,137.02,13.98,2891.5,Credit Card,Delivered,San Jose,CA,United States,SELL01961,2888.9764,2891.5
11625,ORD0011626,10-09-2022,CUST040860,Karan Joshi,P00012,Noise Cancelling Headphones,Electronics,UrbanStyle,5,222.21,0.05,126.66,10.05,1192.21,Cash on Delivery,Shipped,Dallas,TX,United Kingdom,SELL00927,1191.8892,1192.21
7000,ORD0007001,09-05-2021,CUST009786,Anjali Patel,P00036,Smart Light Bulb,Toys & Games,HomeEase,1,169.04,0,13.52,9.87,192.43,Credit Card,Delivered,Dallas,TX,United States,SELL01770,192.2353,192.43
19256,ORD0019257,14-04-2022,CUST022540,Aditya Reddy,P00013,Action Camera,Home & Kitchen,HomeEase,2,546.5,0.15,111.49,4.32,1044.86,Credit Card,Delivered,Chicago,IL,United States,SELL00574,1046.4297,1044.86
61037,ORD0061038,16-04-2020,CUST007357,Sahil Kapoor,P00029,T-Shirt,Sports & Outdoors,Apex,3,43.31,0.05,6.17,8.83,138.43,Debit Card,Delivered,Washington,DC,United States,SELL00645,138.9182,138.43
2546,ORD0002547,09-05-2021,CUST011764,Aman Sharma,P00017,Electric Kettle,Sports & Outdoors,Apex,1,363.46,0,18.17,14.09,395.72,Debit Card,Delivered,Houston,TX,United States,SELL00778,394.0871,395.72
25792,ORD0025793,13-02-2021,CUST020680,Kabir Reddy,P00010,Smartwatch,Sports & Outdoors,HomeEase,4,256.73,0,82.15,4.75,1113.82,Credit Card,Shipped,Philadelphia,PA,India,SELL00121,1115.0085,1113.82
51155,ORD0051156,21-04-2023,CUST005139,Mohit Reddy,P00035,Desk Plant,Toys & Games,FitLife,4,266.12,0.05,121.35,9.1,1141.71,Credit Card,Shipped,Philadelphia,PA,United States,SELL00405,1141.8566,1141.71
33462,ORD0033463,03-09-2021,CUST042360,Sneha Patel,P00006,Gaming Mouse,Electronics,NexPro,2,259.79,0.25,46.76,2.29,438.74,Net Banking,Delivered,Houston,TX,United States,SELL00851,438.9947,438.74
87301,ORD0087302,21-01-2023,CUST030015,Anjali Verma,P00005,Laptop Sleeve,Clothing,Apex,2,160.29,0,25.65,14.19,360.42,Debit Card,Shipped,Austin,TX,United States,SELL00477,359.0978,360.42
53787,ORD0053788,10-01-2020,CUST018320,Vikas Sharma,P00011,Fitness Band,Clothing,Apex,5,533.64,0,320.18,5.34,2993.72,Debit Card,Returned,Los Angeles,CA,United States,SELL01600,2994.2545,2993.72
85638,ORD0085639,04-09-2022,CUST033954,Vivaan Patel,P00028,Jeans,Electronics,CoreTech,5,9.94,0.2,4.77,6.97,51.5,Credit Card,Delivered,Phoenix,AZ,United States,SELL01285,51.378,51.5
41047,ORD0041048,27-11-2022,CUST014588,Mohit Sharma,P00029,T-Shirt,Sports & Outdoors,Zenith,4,542.47,0.1,156.23,14.1,2123.22,Net Banking,Delivered,Columbus,OH,United Kingdom,SELL01009,2121.1637,2123.22
43655,ORD0043656,10-12-2020,CUST048552,Vikas Verma,P00011,Fitness Band,Sports & Outdoors,BrightLux,3,347.06,0.05,118.69,7.87,1115.68,Amazon Pay,Delivered,Washington,DC,United States,SELL00004,1115.1012,1115.68
16812,ORD0016813,02-01-2021,CUST025290,Priya Kumar,P00035,Desk Plant,Electronics,Zenith,1,372.98,0.1,60.42,14.27,410.37,Debit Card,Pending,Phoenix,AZ,United States,SELL00743,409.6287,410.37
7929,ORD0007930,02-11-2024,CUST016912,Arjun Reddy,P00019,LED Desk Lamp,Sports & Outdoors,KiddoFun,3,483.24,0.2,92.78,1.09,1253.65,Credit Card,Delivered,Phoenix,AZ,United States,SELL00288,1255.5647,1253.65
70674,ORD0070675,11-08-2024,CUST015523,Vivaan Mehta,P00037,Router,Books,UrbanStyle,5,595.47,0.05,141.42,6,2975.9,Debit Card,Shipped,Seattle,WA,United Kingdom,SELL01486,2975.7676,2975.9
76678,ORD0076679,02-05-2024,CUST005374,Pooja Reddy,P00046,Car Charger,Books,FitLife,1,303.22,0,15.16,13.29,331.67,Amazon Pay,Delivered,Columbus,OH,United States,SELL00451,331.4327,331.67
77943,ORD0077944,18-11-2023,CUST023032,Sahil Mehta,P00020,Office Chair,Electronics,NexPro,5,282.52,0.05,241.55,6.14,1589.66,Debit Card,Shipped,San Antonio,TX,United States,SELL00003,1589.5855,1589.66
17067,ORD0017068,12-08-2024,CUST040227,Neha Kapoor,P00019,LED Desk Lamp,Books,FitLife,5,520.63,0.1,281.14,8.22,2632.2,UPI,Delivered,Charlotte,NC,United States,SELL00295,2632.2463,2632.2
13220,ORD0013221,19-08-2020,CUST024714,Karan Singh,P00044,Power Bank 20000mAh,Sports & Outdoors,FitLife,4,92.77,0.05,42.3,1.36,396.19,Amazon Pay,Delivered,San Francisco,CA,United Kingdom,SELL01460,400.9097,396.19
87175,ORD0087176,11-06-2023,CUST019538,Arjun Mehta,P00012,Noise Cancelling Headphones,Sports & Outdoors,KiddoFun,5,176.16,0.05,66.94,0.15,903.85,UPI,Delivered,San Jose,CA,Canada,SELL00123,908.5423,903.85
21955,ORD0021956,11-12-2022,CUST048039,Neha Singh,P00039,Graphic Tablet,Sports & Outdoors,KiddoFun,2,422.82,0.05,40.17,12.1,855.63,Credit Card,Delivered,Houston,TX,United States,SELL00182,855.2319,855.63
38508,ORD0038509,13-10-2020,CUST046624,Pooja Kapoor,P00012,Noise Cancelling Headphones,Clothing,BrightLux,2,254.99,0.05,87.21,0.61,572.3,Debit Card,Pending,Austin,TX,United States,SELL00497,573.6468,572.3
79688,ORD0079689,16-08-2023,CUST044047,Neha Patel,P00032,Board Game,Sports & Outdoors,KiddoFun,5,115.26,0.15,58.78,6.87,555.5,UPI,Delivered,San Antonio,TX,United States,SELL00635,555.1364,555.5
490,ORD0000491,04-12-2024,CUST028007,Pooja Mehta,P00019,LED Desk Lamp,Clothing,FitLife,5,475.22,0.1,256.62,11.58,2406.69,Credit Card,Shipped,Philadelphia,PA,Australia,SELL01557,2401.3833,2406.69
12005,ORD0012006,19-04-2024,CUST008655,Vihaan Joshi,P00009,Portable SSD 1TB,Sports & Outdoors,NexPro,2,10.16,0.1,1.46,5.34,25.09,Credit Card,Delivered,Phoenix,AZ,United States,SELL00673,25.0494,25.09
74277,ORD0074278,14-09-2021,CUST048197,Arjun Kapoor,P00032,Board Game,Electronics,BrightLux,3,114.12,0.1,55.46,11.21,374.79,UPI,Shipped,Dallas,TX,United States,SELL01873,374.0107,374.79
38824,ORD0038825,04-10-2021,CUST017164,Sunita Verma,P00029,T-Shirt,Toys & Games,Zenith,2,294.61,0.3,20.62,0.13,433.2,Credit Card,Delivered,Indianapolis,IN,United States,SELL01435,437.5019,433.2
74379,ORD0074380,09-01-2020,CUST029143,Aarav Mehta,P00016,Air Fryer,Sports & Outdoors,KiddoFun,5,260.81,0.3,45.64,5.13,963.6,Debit Card,Delivered,Austin,TX,United States,SELL01209,967.6898,963.6
37899,ORD0037900,26-05-2021,CUST010034,Vikas Gupta,P00033,Puzzle 1000pc,Sports & Outdoors,Apex,4,207.43,0.1,37.34,7.71,791.8,UPI,Delivered,San Jose,CA,United States,SELL00102,793.141,791.8
39525,ORD0039526,09-12-2020,CUST024616,Vivaan Mehta,P00040,Microphone,Sports & Outdoors,ReadMore,4,556.33,0,178.03,8.19,2411.54,Amazon Pay,Delivered,Denver,CO,United States,SELL00272,2411.9529,2411.54
29043,ORD0029044,15-11-2022,CUST034646,Vikas Sharma,P00047,Memory Card 128GB,Electronics,BrightLux,3,160.34,0,38.48,3.34,522.84,Debit Card,Delivered,Chicago,IL,United States,SELL00113,523.3542,522.84
4180,ORD0004181,23-04-2024,CUST032416,Karan Mehta,P00015,Instant Pot,Sports & Outdoors,Zenith,3,149.53,0,35.89,10.83,495.31,UPI,Delivered,Washington,DC,Australia,SELL01273,494.5076,495.31
70256,ORD0070257,14-03-2022,CUST011828,Arjun Joshi,P00036,Smart Light Bulb,Books,Zenith,3,471.69,0.1,101.89,13.77,1389.22,Debit Card,Delivered,Chicago,IL,United States,SELL00069,1387.6832,1389.22
79540,ORD0079541,24-03-2023,CUST027504,Priya Kapoor,P00011,Fitness Band,Home & Kitchen,NexPro,3,518.53,0,186.67,0.26,1742.52,Debit Card,Delivered,Seattle,WA,United States,SELL00908,1744.0325,1742.52
42405,ORD0042406,06-08-2020,CUST022638,Neha Kumar,P00003,Smartphone Case,Clothing,Zenith,4,322.59,0,103.23,7.27,1400.86,Credit Card,Delivered,San Jose,CA,United States,SELL00139,1401.3017,1400.86
39024,ORD0039025,20-03-2020,CUST026672,Rohit Kumar,P00048,Wireless Charger,Clothing,ReadMore,1,589.82,0.1,63.7,12.16,606.7,Credit Card,Shipped,Indianapolis,IN,Canada,SELL01283,604.6514,606.7
23809,ORD0023810,06-12-2021,CUST043723,Aman Sharma,P00048,Wireless Charger,Electronics,UrbanStyle,3,213.53,0.3,53.81,0.46,502.68,Debit Card,Delivered,Austin,TX,United Kingdom,SELL00482,509.86,502.68
14083,ORD0014084,30-03-2024,CUST017958,Neha Kumar,P00014,Drone Mini,Sports & Outdoors,Apex,4,362.82,0.1,65.31,13.94,1385.4,Credit Card,Delivered,Indianapolis,IN,Canada,SELL01642,1383.4109,1385.4
17601,ORD0017602,16-04-2020,CUST022897,Kabir Joshi,P00017,Electric Kettle,Clothing,ReadMore,5,448.53,0,112.13,7.6,2362.38,Net Banking,Cancelled,Indianapolis,IN,United States,SELL00804,2362.9854,2362.38
33416,ORD0033417,31-12-2021,CUST006670,Vivaan Kumar,P00044,Power Bank 20000mAh,Books,UrbanStyle,3,254.08,0.05,57.93,1.62,783.68,UPI,Shipped,San Diego,CA,United States,SELL00291,785.7166,783.68
62850,ORD0062851,06-05-2022,CUST006808,Vihaan Mehta,P00022,Water Bottle,Sports & Outdoors,CoreTech,2,154.05,0.1,13.86,9.06,300.21,Credit Card,Delivered,San Diego,CA,India,SELL01866,300.5309,300.21
77500,ORD0077501,28-07-2021,CUST019424,Priya Verma,P00044,Power Bank 20000mAh,Sports & Outdoors,ReadMore,4,415.71,0.25,0,12.44,1259.57,Credit Card,Delivered,Fort Worth,TX,United States,SELL00921,1263.4601,1259.57
9699,ORD0009700,20-11-2020,CUST038238,Vikas Gupta,P00049,Children's Book,Electronics,UrbanStyle,4,566.82,0.05,172.31,6.13,2332.36,Amazon Pay,Delivered,Phoenix,AZ,India,SELL00099,2333.0505,2332.36
86800,ORD0086801,02-11-2022,CUST025904,Aman Kumar,P00039,Graphic Tablet,Home & Kitchen,BrightLux,2,288.68,0.1,62.35,2.79,584.76,Credit Card,Delivered,New York,NY,United States,SELL00464,587.1777,584.76
57163,ORD0057164,13-03-2023,CUST038233,Arjun Patel,P00029,T-Shirt,Sports & Outdoors,BrightLux,1,200.28,0.25,18.03,0.12,168.36,Debit Card,Delivered,Phoenix,AZ,United States,SELL01556,172.3527,168.36
89478,ORD0089479,25-03-2020,CUST033212,Aarav Sharma,P00041,Webcam Full HD,Sports & Outdoors,FitLife,5,230.64,0.05,131.46,6.13,1233.13,Debit Card,Delivered,Fort Worth,TX,United States,SELL01226,1234.9213,1233.13
10563,ORD0010564,07-04-2022,CUST046106,Sunita Singh,P00049,Children's Book,Electronics,FitLife,1,488.24,0.1,21.97,1.46,462.85,Net Banking,Delivered,Seattle,WA,India,SELL00591,462.6071,462.85
28005,ORD0028006,07-01-2023,CUST024717,Aarav Mehta,P00035,Desk Plant,Clothing,Apex,1,302.46,0.15,30.85,7.48,295.42,Credit Card,Cancelled,San Jose,CA,United Kingdom,SELL01949,294.9143,295.42
